tweet,label,clean_text,label_text,text_length,word_count
ba9i ma 3emlat li9a2 we 3arfin ach ghadi t9oul hhhhhhhhhhhhhhhhhhhhhh,1,bai ma emlat lia we arfin ach ghadi toul hhhhhhhhhhhhhhhhhhhhhh,neutral,63,10
✨ one think i do it for me ✨ kan7al 3iny f sba7 ou ntfakar da7kat moyye à hôtel dar eddaya,0,✨ one think i do it for me ✨ kanal iny f sba ou ntfakar dakat moyye à hôtel dar eddaya,positive,86,21
الشباب الله يهديدم من اليسموعين المولوهييس و ما الى ذالك من الأرانب العنقودية والملابس الطبيعية والله يرحمنا بالشتا',2,الشباب الله يهديدم من اليسموعين المولوهييس و ما الى ذالك من الأرانب العنقودية والملابس الطبيعية والله يرحمنا بالشتا',negative,116,18
nssaw bli hta lfnan f asslo insan,1,nssaw bli hta lfnan f asslo insan,neutral,33,7
"بعد اقتحام قهاوي فكازا وشدو دراري ودريات حقاش حاطين كافي مهرسة او كحلة. منتدى الحداثة والديمقراطية: طلقو الدراري ولبنات وباركا من التشهير,",1,"بعد اقتحام قهاوي فكازا وشدو دراري ودريات حقاش حاطين كافي مهرسة او كحلة. منتدى الحداثة والديمقراطية: طلقو الدراري ولبنات وباركا من التشهير,",neutral,138,22
"وضعية محاكم كازا والرباط أمام السلطة القضائية.. ها تفاصيل اجتماع بين عبد النباوي والداكي بحضور وزير العدل,",1,"وضعية محاكم كازا والرباط أمام السلطة القضائية.. ها تفاصيل اجتماع بين عبد النباوي والداكي بحضور وزير العدل,",neutral,106,17
"هادي لاليست ديال المتابعين ففضيحة تبديد أموال عمومية والتلاعب بصفقات الصحة,",1,"هادي لاليست ديال المتابعين ففضيحة تبديد أموال عمومية والتلاعب بصفقات الصحة,",neutral,75,11
وحشتنا يا معلم باغانيك الرائعه يا سعد لاتقلق من اي شيء ورائك جمهور لا ليس جمهور بل جيش من ملايين المحبين لك من المحيط الي الخليج - الي الامام يا معلم',0,وحشتنا يا معلم باغانيك الرائعه يا سعد لاتقلق من اي شيء ورائك جمهور لا ليس جمهور بل جيش من ملايين المحبين لك من المحيط الي الخليج - الي الامام يا معلم',positive,150,31
شكرا لكل من يشجعني و انتظروا دائما الجديد',0,شكرا لكل من يشجعني و انتظروا دائما الجديد',positive,42,8
تحياتي ، البروفيسور منيب,0,تحياتي ، البروفيسور منيب,positive,24,4
kantmna likk twafi9 yannsine vraiment the voice ohna faghorin bik lank kat matal sahra lmghribiya o le maroc bravo lik jtm,0,kantmna likk twafi yannsine vraiment the voice ohna faghorin bik lank kat matal sahra lmghribiya o le maroc bravo lik jtm,positive,121,21
حرف السين يدل على الفشل',2,حرف السين يدل على الفشل',negative,24,5
انت روحي ياقمر ربي يديم التفوق والنجاح يا روحي ',0,انت روحي ياقمر ربي يديم التفوق والنجاح يا روحي ',positive,48,10
AKID ZWINA BAZAFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFADFAD,0,AKID ZWINA BAZAFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFADFAD,positive,67,3
ka ysslem 3lik 😅 gallik douze ida 3ndek chi 8emza,1,ka ysslem lik 😅 gallik douze ida ndek chi emza,neutral,46,10
nn db bghina sadara khaliw tnsta hta nwes3o lfari9 pklkllllllllzzzzzzzzzzzzzzzz,1,nn db bghina sadara khaliw tnsta hta nweso lfari pklkllllllllzzzzzzzzzzzzzzzz,neutral,77,10
كما يطالب المغاربة بمحاسبة الشفارة من المسؤولين',0,كما يطالب المغاربة بمحاسبة الشفارة من المسؤولين',positive,48,7
matbkhlich 3lina wakha ma3rt fin kati7o 3la had la9atat hhhh,1,matbkhlich lina wakha mart fin katio la had laatat hhhh,neutral,55,10
Baw Nassin Baa Lihom Oydiw Sadara من فضلك Halarr Bi Ghir Lyoum Blama Tachmouna Ohra Ghir Land Mandkom Ta Odr,2,Baw Nassin Baa Lihom Oydiw Sadara من فضلك Halarr Bi Ghir Lyoum Blama Tachmouna Ohra Ghir Land Mandkom Ta Odr,negative,108,20
o had klma kanolha diima ya3ni fhad lahda fahmouuni ana baa3iida 3la anani nsseb onkrah blad kamla,1,o had klma kanolha diima yani fhad lahda fahmouuni ana baaiida la anani nsseb onkrah blad kamla,neutral,95,17
amiir je suis fiére de toi nta ou souhaila jito m3a ba3diyatkom mais 9adma ba3adti manha hsak lik hit ra makatbghikch,0,amiir je suis fiére de toi nta ou souhaila jito ma badiyatkom mais adma baadti manha hsak lik hit ra makatbghikch,positive,113,21
"الزعماء العرب والمسلمون هم السبب المباشر لدولة فلسطين ، والقدس ، والجبال والدمار في مختلف البلدان الإسلامية العربية """,2,"الزعماء العرب والمسلمون هم السبب المباشر لدولة فلسطين ، والقدس ، والجبال والدمار في مختلف البلدان الإسلامية العربية """,negative,117,19
منيب أفضل بكثير من ألف بنزيدان,0,منيب أفضل بكثير من ألف بنزيدان,positive,30,6
akid hna m3ak dakhil o kharij barnamaj o lah iwaf9ak,0,akid hna mak dakhil o kharij barnamaj o lah iwafak,positive,50,10
ki ban gha edited machi howa li kayhder,1,ki ban gha edited machi howa li kayhder,neutral,39,8
سنة هجرية سعيدة.... مليئة بالنجاحات و المسرات و التوفيق من الله عز و جل.... ',0,سنة هجرية سعيدة.... مليئة بالنجاحات و المسرات و التوفيق من الله عز و جل.... ',positive,77,15
mcherfine 😭😭😭 dwezti l ji8awi wla la,1,mcherfine 😭😭😭 dwezti l jiawi wla la,neutral,35,7
إنه ليس غريباً بالنسبة لأخلاق برشلونة,0,إنه ليس غريباً بالنسبة لأخلاق برشلونة,positive,37,6
شكرا لك Dounia Dima Katbarhni ala tamghribite dyalek w daamek lbenet bladek akbar dalil,0,شكرا لك Dounia Dima Katbarhni ala tamghribite dyalek w daamek lbenet bladek akbar dalil,positive,87,14
hhhhhhhhhhhhhhhhhhhhhhhhh khatira hanan machi bhalk hbila p,2,hhhhhhhhhhhhhhhhhhhhhhhhh khatira hanan machi bhalk hbila p,negative,59,7
hhh nti llah ijib li fih lkhir oyrzana saa osaama ^,0,hhh nti llah ijib li fih lkhir oyrzana saa osaama ^,positive,51,11
أنا شخصيا أشكركم على كل ما قدمتم من إنجازات وصوتي دائما لحزبكم حزب العدالة وتنمية',0,أنا شخصيا أشكركم على كل ما قدمتم من إنجازات وصوتي دائما لحزبكم حزب العدالة وتنمية',positive,82,15
hhhhhh choufou liya chi oghniya m3a confiture aicha,1,hhhhhh choufou liya chi oghniya ma confiture aicha,neutral,50,8
hhhhhhhhhhhhhhhhhhhawboch hada rah milk mne douk dzarin li ness layfo rah chbo fih myor odb ja andna,2,hhhhhhhhhhhhhhhhhhhawboch hada rah milk mne douk dzarin li ness layfo rah chbo fih myor odb ja andna,negative,100,17
الله يستر ألقى راسو خدام وكيتخلص وأتبع داعش دابة والله ألا طفرتيه والله حتى تندم الأستاذ.',2,الله يستر ألقى راسو خدام وكيتخلص وأتبع داعش دابة والله ألا طفرتيه والله حتى تندم الأستاذ.',negative,90,16
w3tini dalil ana 9aftan torkiw3tini dalil 9ati3 ana sra9na toratkom wano ta3kom ba3da achno sra9na7int ana hami ghi 9ftan,1,wtini dalil ana aftan torkiwtini dalil ati ana srana toratkom wano takom bada achno sranaint ana hami ghi ftan,neutral,110,19
maratchofhach ana sma3t ibtissam jaya sabt,1,maratchofhach ana smat ibtissam jaya sabt,neutral,41,6
oui wkhososan homa lima3rof 3lihom lghach wchhal man mosaba9a jraw 3lihom manha khasna nhadro m3a elie nhajmo 3lih,1,oui wkhososan homa limarof lihom lghach wchhal man mosabaa jraw lihom manha khasna nhadro ma elie nhajmo lih,neutral,108,18
صورة معبرة للغاية لمدى تفاني حكومة بن خاتيبان ، ولا سيما حل مشاكل الشعب المغربي. يرى عبيد الله امرأة تنشر الأرض.,2,صورة معبرة للغاية لمدى تفاني حكومة بن خاتيبان ، ولا سيما حل مشاكل الشعب المغربي. يرى عبيد الله امرأة تنشر الأرض.,negative,112,21
salam kidayar labas 3lik natmana tkoune labas,0,salam kidayar labas lik natmana tkoune labas,positive,44,7
hanan barki l ihab rah nazl promo l song dyalo o ntmna njwbi les fans li ala tawasol mak mehrajn f jordon habin yawslo maak,1,hanan barki l ihab rah nazl promo l song dyalo o ntmna njwbi les fans li ala tawasol mak mehrajn f jordon habin yawslo maak,neutral,123,25
Aygolia nti li mazyan bash tchdi قطار,2,Aygolia nti li mazyan bash tchdi قطار,negative,37,7
ana ghir dazo lmaghrib larabi hbast lafraja,2,ana ghir dazo lmaghrib larabi hbast lafraja,negative,43,7
goulli ana wld l97ba bla matgolli mok 97ba kat7ewwa m3a zwaml,1,goulli ana wld lba bla matgolli mok ba katewwa ma zwaml,neutral,55,11
hna f settat lbatikh o dalah desserts mojoud,1,hna f settat lbatikh o dalah desserts mojoud,neutral,44,8
"جريمة القتل اللي قلبات مراكش فأول نهار درمضان.. “لابيجي” اعتقلات مول الفعلة,",1,"جريمة القتل اللي قلبات مراكش فأول نهار درمضان.. “لابيجي” اعتقلات مول الفعلة,",neutral,76,12
اين هي تنائج المفتشين لماذا هذا التاخير في الاعلان عليها رغم ان المبارات كانت في نفس اليوم',0,اين هي تنائج المفتشين لماذا هذا التاخير في الاعلان عليها رغم ان المبارات كانت في نفس اليوم',positive,91,17
إنه أسد شامخ رغما عن أنف الحاقدين وسيبقى دائما أسطورة في تاريخ كرة القدم.وكلنا نعرف التلاعبات التي تقع في مغربنا الحبيب...!',0,إنه أسد شامخ رغما عن أنف الحاقدين وسيبقى دائما أسطورة في تاريخ كرة القدم.وكلنا نعرف التلاعبات التي تقع في مغربنا الحبيب...!',positive,124,21
bonjour les marrakchis tayana li bani bitouu,1,bonjour les marrakchis tayana li bani bitouu,neutral,44,7
"بسباب ارتفاع ثمن الكَازوال وتخطافت.. صحاب الطاكسيات فالعيون كاعيين وصعدو من احتجاجاتهم,",1,"بسباب ارتفاع ثمن الكَازوال وتخطافت.. صحاب الطاكسيات فالعيون كاعيين وصعدو من احتجاجاتهم,",neutral,87,12
هههه بنكيران داير لشوف تيفي  لحلاقم  الصحافة المؤجورة,0,هههه بنكيران داير لشوف تيفي لحلاقم الصحافة المؤجورة,positive,51,8
هذي فضيحة كبيرة لوزير السكنى و التعمير بنعبد الله و لرئيس الحكومة. فينا هو حق هاذ السيدة الي ناعسة على الدص؟,2,هذي فضيحة كبيرة لوزير السكنى و التعمير بنعبد الله و لرئيس الحكومة. فينا هو حق هاذ السيدة الي ناعسة على الدص؟,negative,108,21
اودي كونما بنكيران والله لا سمعتي الاذان فدوزام هو الاخر,0,اودي كونما بنكيران والله لا سمعتي الاذان فدوزام هو الاخر,positive,56,10
الحمد لله بﻻدنا كاملة فيها مناظر جميلة',0,الحمد لله بﻻدنا كاملة فيها مناظر جميلة',positive,39,7
noooo way mabrouk de3i m3aya ndir nefss lhaja,1,noooo way mabrouk dei maya ndir nefss lhaja,neutral,43,8
ممتاز:لو لم يكن للبطاطس شأنا لما خلق لها مركزا دوليا في البيرو و هو (بنك البطاطس) ',0,ممتاز:لو لم يكن للبطاطس شأنا لما خلق لها مركزا دوليا في البيرو و هو (بنك البطاطس) ',positive,83,17
morocco khoudi lik wa7d akhor 2,1,morocco khoudi lik wad akhor,neutral,28,5
mon nythoum bndem bach kadwi m3ah medba ou katjwbih bzerba sf syed kathlem lih ou kayshab lih rah hwa nadee ou kayt5zez 3lik ou nti hir ma3endek maydar f hwatek dakchi 3lach kat3tih we9t,1,mon nythoum bndem bach kadwi mah medba ou katjwbih bzerba sf syed kathlem lih ou kayshab lih rah hwa nadee ou kaytzez lik ou nti hir maendek maydar f hwatek dakchi lach kattih wet,neutral,179,34
inchaa allah kima bghiiti lih rabi yjibha l nas l9rab lik,0,inchaa allah kima bghiiti lih rabi yjibha l nas lrab lik,positive,56,11
"يعيش الجزيرة الطويلة ويسقطون كهنة التعري والشيوخ """,2,"يعيش الجزيرة الطويلة ويسقطون كهنة التعري والشيوخ """,negative,50,8
لماذا لم يأت مثل هذا الشعب ، لأن البرلمان المغربي يمكن أن يكون وزير الخارجية في المغرب في يوم من الأيام ، يعرف ابن المنطقة الشعاب المرجانية ، في الأصل ، البرلمان مليء بأشخاص ليسوا جيدين في كتابة جملة مفيدة. يعود الشخص من آفة البوليساريو ، سيكون الأكثر إقناعًا لأطفال جلده. ',0,لماذا لم يأت مثل هذا الشعب ، لأن البرلمان المغربي يمكن أن يكون وزير الخارجية في المغرب في يوم من الأيام ، يعرف ابن المنطقة الشعاب المرجانية ، في الأصل ، البرلمان مليء بأشخاص ليسوا جيدين في كتابة جملة مفيدة. يعود الشخص من آفة البوليساريو ، سيكون الأكثر إقناعًا لأطفال جلده. ',positive,274,52
"فاجعة. فلاح فتاونات قتل ولد عمو بجويجة والوكيل العام ففاس دوزو لقاضي التحقيق,",1,"فاجعة. فلاح فتاونات قتل ولد عمو بجويجة والوكيل العام ففاس دوزو لقاضي التحقيق,",neutral,77,13
مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي,0,مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي,positive,65,9
": شفت هاد العجب ونا نتفكر الثريد ديال قبيلة. هذاك """"""""""""""""عبر""""""""""""""""هو واحد من الميديا اللي دعيتهم ومخديت لا حق لا باطل، كنت بغيت نعلق على ه…",1,": شفت هاد العجب ونا نتفكر الثريد ديال قبيلة. هذاك """"""""""""""""عبر""""""""""""""""هو واحد من الميديا اللي دعيتهم ومخديت لا حق لا باطل، كنت بغيت نعلق على ه…",neutral,142,26
amoola finek dkhlini l group bhad lcompte mcha li compte dyali l2awel,1,amoola finek dkhlini l group bhad lcompte mcha li compte dyali lawel,neutral,68,12
عبارة رائعة',0,عبارة رائعة',positive,12,2
"واخا مجربتهمش ولكن كيبان داكشي رومونتيك , راك فاهم هههه",1,"واخا مجربتهمش ولكن كيبان داكشي رومونتيك , راك فاهم هههه",neutral,55,10
"فرانساوي من أصول دزايرية روشيرشي من “أنتربول” طاح فالمغرب.. عندو علاقة بشبكات الاتجار الدولي فالمخدرات وتبييض الفلوس,",1,"فرانساوي من أصول دزايرية روشيرشي من “أنتربول” طاح فالمغرب.. عندو علاقة بشبكات الاتجار الدولي فالمخدرات وتبييض الفلوس,",neutral,117,17
khtiiii siri lah yrheem lkerch li welddateek olhaja wlhaaj li rbaweeekk maghrebya assela walaw flghorbaa,0,khtiiii siri lah yrheem lkerch li welddateek olhaja wlhaaj li rbaweeekk maghrebya assela walaw flghorbaa,positive,104,15
منظر رائع وكين كين ، لا والإنساني ، ولدي جشع ، لذلك أي مكان في المملكة. ',2,منظر رائع وكين كين ، لا والإنساني ، ولدي جشع ، لذلك أي مكان في المملكة. ',negative,73,17
matnssach hadou rah 3ndhoum l7arb 3afak,2,matnssach hadou rah ndhoum larb afak,negative,36,6
habibtna ya ghadoch wach gu ama amal o prjta ghaha dir jayartk lil lmagheribbbbbbbbbbbbbbbbbbbbbbb,0,habibtna ya ghadoch wach gu ama amal o prjta ghaha dir jayartk lil lmagheribbbbbbbbbbbbbbbbbbbbbbb,positive,98,14
nn f khayalk a wldi hsseb akbar tajamo3at skania f modon w chof chkon aktaria,1,nn f khayalk a wldi hsseb akbar tajamoat skania f modon w chof chkon aktaria,neutral,76,15
انا من سوريا وأحب المغرب وأحب سعد المجرد واهنئ الشعب المغرب عل الفوز وتأهل الى كأس العالم',0,انا من سوريا وأحب المغرب وأحب سعد المجرد واهنئ الشعب المغرب عل الفوز وتأهل الى كأس العالم',positive,90,17
وانت ايها الكاتب كتبت مقال عريض وعجزت ان تكتب صلى الله عليه وسلم بدل ص ',2,وانت ايها الكاتب كتبت مقال عريض وعجزت ان تكتب صلى الله عليه وسلم بدل ص ',negative,72,16
😂😂😂😂 tas dyal swisra machi dyal zaouli,1,😂😂😂😂 tas dyal swisra machi dyal zaouli,neutral,38,7
"القوات المسلحة الملكية وقفات عملية تهريب 6 طن ديال الحشيش نواحي “بير كَندوز” جنوب الداخلة,",1,"القوات المسلحة الملكية وقفات عملية تهريب طن ديال الحشيش نواحي “بير كَندوز” جنوب الداخلة,",neutral,88,14
المشكلة تاواحد محسن من واحد كلهم شفارة بنكيران فايتهم بحاجة وحدة تايتهلا فيريوس لكبيييرة على ضهر المسكين هادشي باش هو زين,0,المشكلة تاواحد محسن من واحد كلهم شفارة بنكيران فايتهم بحاجة وحدة تايتهلا فيريوس لكبيييرة على ضهر المسكين هادشي باش هو زين,positive,121,21
الله يرحمه على هاد الجملة. .إنه العرب ما متافقينش وما كتجمعهم حتى حاجة سوى القاعة',2,الله يرحمه على هاد الجملة. .إنه العرب ما متافقينش وما كتجمعهم حتى حاجة سوى القاعة',negative,82,15
مجرد أشخاص للناس هو حالتهم ، بدلاً من نشر مشاكل.,2,مجرد أشخاص للناس هو حالتهم ، بدلاً من نشر مشاكل.,negative,48,10
السعوديه يفوق الخيال',0,السعوديه يفوق الخيال',positive,21,3
ihab ghbar wala khayf mn titiz hhhhh,1,ihab ghbar wala khayf mn titiz hhhhh,neutral,36,7
كتحمقني والله زويييونة تبركاالله عليك',0,كتحمقني والله زويييونة تبركاالله عليك',positive,38,5
mohim smiya khaliha hiya hadik hsan ama tof kima bghiti hhh,1,mohim smiya khaliha hiya hadik hsan ama tof kima bghiti hhh,neutral,59,11
wayli drt retirement mn gaming kolchi bda ki quit haha ma3rftkomch ktwa7choni lhad l7d 😅,0,wayli drt retirement mn gaming kolchi bda ki quit haha marftkomch ktwachoni lhad ld 😅,positive,85,15
"لتسريع الإنعاش السياحي فبلادنا.. “لارام” زادت من الرحلات الجوية بين 9 مطارات مغربية و77 مطار فالعالم وقدمات عرض كيوفر 6 ملاين بلاصة لهاد الاتجاهات,",1,"لتسريع الإنعاش السياحي فبلادنا.. “لارام” زادت من الرحلات الجوية بين مطارات مغربية و مطار فالعالم وقدمات عرض كيوفر ملاين بلاصة لهاد الاتجاهات,",neutral,141,22
lwa7d howa li ylo7 liha w ymchi ychfar xhi dbaba dkchi d gta,2,lwad howa li ylo liha w ymchi ychfar xhi dbaba dkchi d gta,negative,58,13
hamdolilah et toi saraha bakimalkit stage hwa li mbrztnii ohamdolilah rmdan zwin ontii,0,hamdolilah et toi saraha bakimalkit stage hwa li mbrztnii ohamdolilah rmdan zwin ontii,positive,86,13
3adna kolchi wntoma copier collersiri sawli fin ymcho bnat 3ndkom bach ytzawjosadin 3la raskom bach zbalkom maychamo 7ad,2,adna kolchi wntoma copier collersiri sawli fin ymcho bnat ndkom bach ytzawjosadin la raskom bach zbalkom maychamo ad,negative,116,18
"خبار زوينة من “مامدا” للفلاحة: تعويضاتكم لمواجهة تأثير الجفاف غتكون موجودة فالبدية ديال أبريل الجاي.. وها التفاصيل,",1,"خبار زوينة من “مامدا” للفلاحة: تعويضاتكم لمواجهة تأثير الجفاف غتكون موجودة فالبدية ديال أبريل الجاي.. وها التفاصيل,",neutral,115,17
"تفاصيل تفكيك ريزو كيتاجر فالكلاوي وأعضاء بشرية أخرى.. اليوم تحال على الوكيل العام فكازا,",1,"تفاصيل تفكيك ريزو كيتاجر فالكلاوي وأعضاء بشرية أخرى.. اليوم تحال على الوكيل العام فكازا,",neutral,88,14
المغرب لا يجيد شيءا سوى المنع او رفع الرسوم ',2,المغرب لا يجيد شيءا سوى المنع او رفع الرسوم ',negative,45,10
mal bnadm cha3l tayh ktr mn nayd wach katjch3o bnt bladkom chj3oha obskat madkhloch fhyatha chkhsya bnadm hbel wllh lah y3fo,1,mal bnadm chal tayh ktr mn nayd wach katjcho bnt bladkom chjoha obskat madkhloch fhyatha chkhsya bnadm hbel wllh lah yfo,neutral,120,21
مصلحة البلد تتجاوز خطأ بنكيران الغير المقصود . كبر عقلك تفهم.,0,مصلحة البلد تتجاوز خطأ بنكيران الغير المقصود . كبر عقلك تفهم.,positive,61,11
مورننغ تيوزدااااي🌞,1,مورننغ تيوزدااااي🌞,neutral,18,2
daba ma kayn ghir l régime 7ta ana w tou7chte mon cheesecake,1,daba ma kayn ghir l régime ta ana w touchte mon cheesecake,neutral,58,12
تحياتي لك ادمين على هاد المجهود لي كادير باش تقربنا من اللاعيبين ديالنا ',0,تحياتي لك ادمين على هاد المجهود لي كادير باش تقربنا من اللاعيبين ديالنا ',positive,73,14
Kolna Tayin F Odoraark في Ihab ولكن Baghin Ktar,0,Kolna Tayin F Odoraark في Ihab ولكن Baghin Ktar,positive,47,9
الله يعطيك صحة الاخت منيب,0,الله يعطيك صحة الاخت منيب,positive,25,5
يدعوا لاغراق البلاد واش هدا يكون رئيس الحكومة حشومة وعيب والله حتى تكون شوهة كبيرة والمغرب يرجع 100عام الى وراء لاحولة ولاقوة الا بالله العلي العظيم,2,يدعوا لاغراق البلاد واش هدا يكون رئيس الحكومة حشومة وعيب والله حتى تكون شوهة كبيرة والمغرب يرجع عام الى وراء لاحولة ولاقوة الا بالله العلي العظيم,negative,145,26
خاص فبراير كوم ونون بريس وشوف tv وبرلمان كوم والأخرون يحبسو هاد التخاريف لأنهم يسيوؤن للمغاربة,2,خاص فبراير كوم ونون بريس وشوف tv وبرلمان كوم والأخرون يحبسو هاد التخاريف لأنهم يسيوؤن للمغاربة,negative,94,16
العدالة والتنمية هي أفضل حكومة,0,العدالة والتنمية هي أفضل حكومة,positive,30,5
سحب هاد لكلمة أ سيدي ودير فبلاصتها : مارسه بحمد وشكر و حب 💙🙏,1,سحب هاد لكلمة أ سيدي ودير فبلاصتها : مارسه بحمد وشكر و حب 💙🙏,neutral,60,14
للاسف النهاري وغيره من التكفيريين اخترقوا نسيجنا الاشعري وبداوا يكفرون ويحرمون على حسب ميزاجهم ',2,للاسف النهاري وغيره من التكفيريين اخترقوا نسيجنا الاشعري وبداوا يكفرون ويحرمون على حسب ميزاجهم ',negative,96,15
ادا لم تحترم هادا اشخص فانت  لاتفقه شيء في اسياسة,2,ادا لم تحترم هادا اشخص فانت لاتفقه شيء في اسياسة,negative,48,10
chi nas kihdro m3ak ghir ala wed ewa kayn chi titiz kayn chi kayn chi wa siro 3tiwni bti9ar afak,2,chi nas kihdro mak ghir ala wed ewa kayn chi titiz kayn chi kayn chi wa siro tiwni btiar afak,negative,93,20
"لجنة برلمانية غتلاقى الوزيرة بنعلي لنقاش ارتفاع ثمن ليصانص والمازوط ووضعية المكتب الوطني للما والضو بحضور الحافيظي,",1,"لجنة برلمانية غتلاقى الوزيرة بنعلي لنقاش ارتفاع ثمن ليصانص والمازوط ووضعية المكتب الوطني للما والضو بحضور الحافيظي,",neutral,115,17
ghir barkat raphael l anniversaire dyalo makhalaw ma9alo fiha daba 3ad jayin y9olo 3melna we 3melna,2,ghir barkat raphael l anniversaire dyalo makhalaw maalo fiha daba ad jayin yolo melna we melna,negative,94,16
"قال (ص)(ٱرحموا من في الأرض يرحمكم من في السماء) أليس هؤلاء مغاربة من بني جلدتنا كانت الظروف الإجتماعية سببا لتشردهم ألم يكن الأولى تخصيص ميزانية لإيوائهم و إيجاد حلول لهم بدل إنفاق الأموال في المهراجانات""""""""""""""""موازين"""""""""""""""" و الحفلات و كرة القدم ؟ثم هل وجدْنا حُلولا لهؤلاء المغاربة أوَّلاً قبل أن نستضيف الأفارقة؟'",2,"قال (ص)(ٱرحموا من في الأرض يرحمكم من في السماء) أليس هؤلاء مغاربة من بني جلدتنا كانت الظروف الإجتماعية سببا لتشردهم ألم يكن الأولى تخصيص ميزانية لإيوائهم و إيجاد حلول لهم بدل إنفاق الأموال في المهراجانات""""""""""""""""موازين"""""""""""""""" و الحفلات و كرة القدم ؟ثم هل وجدْنا حُلولا لهؤلاء المغاربة أوَّلاً قبل أن نستضيف الأفارقة؟'",negative,317,51
rabi ystarna hadouk rah nas mrida rah kaynin khouthom maghribiyat alah yadina fdaw nas hablo 3la 9bal achkhass,1,rabi ystarna hadouk rah nas mrida rah kaynin khouthom maghribiyat alah yadina fdaw nas hablo la bal achkhass,neutral,108,18
"المغرب فقمة مع الناتو لتسليح الجيش الأوكراني..الناطق الرسمي باسم الحكومة لـ”كود”: حل الصراع خصو يكون بالطرق السلمية والدبلوماسية وموقف المملكة مع الوحدة الترابية للدول,",1,"المغرب فقمة مع الناتو لتسليح الجيش الأوكراني..الناطق الرسمي باسم الحكومة لـ”كود”: حل الصراع خصو يكون بالطرق السلمية والدبلوماسية وموقف المملكة مع الوحدة الترابية للدول,",neutral,168,24
