tweet,label,clean_text,label_text,text_length,word_count
@user ياجماعة واقيلا هاذ هو الزحف لي قال عليه الريسوني ؟ ردو بالكم واعر,2,ياجماعة واقيلا هاذ هو الزحف لي قال عليه الريسوني ؟ ردو بالكم واعر,negative,65.0,13.0
ميزة كاين ووعود الطلاب.,0,ميزة كاين ووعود الطلاب.,positive,23.0,4.0
RT @user التعب يسبب الهبال! \nراح تقولو علاش انتي من وقتاش كنتي بعقلك؟؟ \n🤣🤣🤣🤣🤣,2,RT التعب يسبب الهبال! \nراح تقولو علاش انتي من وقتاش كنتي بعقلك؟؟ \n🤣🤣🤣🤣🤣,negative,73.0,13.0
أوه ، أنت لم تعجبك,0,أوه ، أنت لم تعجبك,positive,18.0,5.0
@user 😂 😂 😂 😂 😂  فين داهم اتأدبو  واقيلا جزر المالديف,2,😂 😂 😂 😂 😂 فين داهم اتأدبو واقيلا جزر المالديف,negative,45.0,11.0
@user مليح مليح ،،، حتى أنا حبستهم مدة عام و زيادة مي دروك وليت نشربهم خطرة على خطرة ، ماكاش كيما الماء سيرتو الصباح على الريق,0,مليح مليح ،،، حتى أنا حبستهم مدة عام و زيادة مي دروك وليت نشربهم خطرة على خطرة ، ماكاش كيما الماء سيرتو الصباح على الريق,positive,120.0,25.0
@user شوفي ماليزيا كنت نعرف وحدة هنا من ثم ديما تصور وتوريلي بلايص \nوالحاجة الفور تدوري تح,0,شوفي ماليزيا كنت نعرف وحدة هنا من ثم ديما تصور وتوريلي بلايص \nوالحاجة الفور تدوري تح,positive,85.0,16.0
@user الله يبارك\nفيمن راه يأثر؟\nماكاش حد اسمع بيه غير انتوما,2,الله يبارك\nفيمن راه يأثر؟\nماكاش حد اسمع بيه غير انتوما,negative,56.0,9.0
@user @user @user @user ياطفلة غاضوني والديك على الاقل احشمي على اصلك واحشمي ع… @user,2,ياطفلة غاضوني والديك على الاقل احشمي على اصلك واحشمي ع…,negative,55.0,10.0
Saqqi al -shaerb,0,Saqqi al -shaerb,positive,16.0,3.0
صباح al -nour \ n ، Alabali ، أيضًا,0,صباح al -nour \ n ، Alabali ، أيضًا,positive,35.0,9.0
التاريخ يزعم؟,1,التاريخ يزعم؟,neutral,13.0,2.0
وأنا مذنب ، وأريد أن أضع ليفوتو على FEMD Molic ، نتخيل,1,وأنا مذنب ، وأريد أن أضع ليفوتو على FEMD Molic ، نتخيل,neutral,54.0,12.0
@user @user يا خو الجزائر باموال الغاز لم تستطيع ان تشتري طائرات لاطفاء الحرائق وتركت الشعب يموت… @user,2,يا خو الجزائر باموال الغاز لم تستطيع ان تشتري طائرات لاطفاء الحرائق وتركت الشعب يموت…,negative,85.0,15.0
@user دوكا ترجع جياحة  نوميديا وريفكا  في مواقع بفففف,2,دوكا ترجع جياحة نوميديا وريفكا في مواقع بفففف,negative,45.0,8.0
صباح الخير من سطيف العالي,0,صباح الخير من سطيف العالي,positive,25.0,5.0
@user علابالي كاين وكابن أنت من أعز الناس,0,علابالي كاين وكابن أنت من أعز الناس,positive,35.0,7.0
وهو جاي ماكون,1,وهو جاي ماكون,neutral,13.0,3.0
شاهال بينهم,1,شاهال بينهم,neutral,11.0,2.0
"صرعونا بهاذ الموسيقى تع توم وجيري 😒\nاطلڤ اطلڤ  """"طاحو ليجوندارم دارو لونكات آي مول الكارزان"""" 🎶🎶\n\n#العاب_البحر_الابيض_المتوسط",2,"صرعونا بهاذ الموسيقى تع توم وجيري 😒\nاطلڤ اطلڤ """"طاحو ليجوندارم دارو لونكات آي مول الكارزان"""" 🎶🎶\n\nالعاب_البحر_الابيض_المتوسط",negative,126.0,16.0
@user زعنا زعما راكي تشوفي لي كومونتار توعنا ولا زاد ناقص,1,زعنا زعما راكي تشوفي لي كومونتار توعنا ولا زاد ناقص,neutral,51.0,10.0
@user فيه مدرديين مراض هاد الشيرينغيتو. قالك كاسيميرو كروس مودريش حسن من بوسكيتس انييسطا شافي 🤣🤣🤣 غير زكارة… @user,2,فيه مدرديين مراض هاد الشيرينغيتو. قالك كاسيميرو كروس مودريش حسن من بوسكيتس انييسطا شافي 🤣🤣🤣 غير زكارة…,negative,102.0,17.0
@user هههه واقيلا مكانش قراية هدا العام,2,هههه واقيلا مكانش قراية هدا العام,negative,33.0,6.0
وقال راحة سيكوبرا 😂,1,وقال راحة سيكوبرا 😂,neutral,19.0,4.0
ما هو قطع ، يا خو,1,ما هو قطع ، يا خو,neutral,17.0,6.0
@user @user وش يستفيد واحد من البلد كي يتزعز الاستقار يعني يقبلو يقتلو عاىلات نورمال؟ علابالي… @user,2,وش يستفيد واحد من البلد كي يتزعز الاستقار يعني يقبلو يقتلو عاىلات نورمال؟ علابالي…,negative,82.0,14.0
علابالي شدة و تزول ، بصح ثقيلة ولله,2,علابالي شدة و تزول ، بصح ثقيلة ولله,negative,35.0,8.0
@user واقيلا العكس,1,واقيلا العكس,neutral,12.0,2.0
@user تبهديلة من بعدها تبهديلة @user,2,تبهديلة من بعدها تبهديلة,negative,24.0,4.0
هاهاها,0,هاهاها,positive,6.0,1.0
مالڨري داير  بزاف غلطات في حياتي\nبصح جامي توحشت نولي نقرا🥱💔,2,مالڨري داير بزاف غلطات في حياتي\nبصح جامي توحشت نولي نقرا🥱💔,negative,59.0,10.0
كل عام وبلدي مع أجد بئر وخلود ، إلى الأبد لشهدائنا العادلين \ n الجزائر 🇩🇿 \ n الجزارات __ عام الاستقلال ...,0,كل عام وبلدي مع أجد بئر وخلود ، إلى الأبد لشهدائنا العادلين \ n الجزائر 🇩🇿 \ n الجزارات __ عام الاستقلال ...,positive,108.0,23.0
بطة ونتائج البكالوريا الخاص بك؟,1,بطة ونتائج البكالوريا الخاص بك؟,neutral,31.0,5.0
@user وقتاش، يكون فالسبوتيفاي,1,وقتاش، يكون فالسبوتيفاي,neutral,23.0,3.0
زعما صالحين ولا طالحين 🌚.!,2,زعما صالحين ولا طالحين 🌚.!,negative,26.0,5.0
@user الدفاع الدفاع وقتاش نهاجمو ؟؟,2,الدفاع الدفاع وقتاش نهاجمو ؟؟,negative,29.0,5.0
@user أنا بصراحة ما نتبعهمش بزاف لكن اكثر واحد فالجزائر يعجبني هو الشيخ فركوس، عالم كبير ربي,0,أنا بصراحة ما نتبعهمش بزاف لكن اكثر واحد فالجزائر يعجبني هو الشيخ فركوس، عالم كبير ربي,positive,86.0,16.0
وربما كنت تعلم أنه كان ههههه,1,وربما كنت تعلم أنه كان ههههه,neutral,28.0,6.0
@user @user @user 😂😂😂😂😂😂\nشكرا صحيبي ربي يهنيك \n\nباين لقيت كاش فانوس قالك إتمنى لصاحبك حاجة ت… @user,0,😂😂😂😂😂😂\nشكرا صحيبي ربي يهنيك \n\nباين لقيت كاش فانوس قالك إتمنى لصاحبك حاجة ت…,positive,78.0,13.0
@user @user و انت وعلاه  راك تابع في تغريذاته  يا نذل يا ذبابة؟؟  نعرف واحد مل من حاجة يوقف متابعت… @user,2,و انت وعلاه راك تابع في تغريذاته يا نذل يا ذبابة؟؟ نعرف واحد مل من حاجة يوقف متابعت…,negative,84.0,18.0
مرحبا بيك ونحن يشرفونك \ n🤍,0,مرحبا بيك ونحن يشرفونك \ n🤍,positive,27.0,6.0
ألابالي ، قبل الاتفاقات. في الإسلام ، لا يُسمح به قبل مقابر المسيحيين ، أنا أتحدث عن الناس أنهم لم يزيدوا ...,0,ألابالي ، قبل الاتفاقات. في الإسلام ، لا يُسمح به قبل مقابر المسيحيين ، أنا أتحدث عن الناس أنهم لم يزيدوا ...,positive,109.0,22.0
كنت ديزاكتيفيت تويتر من تلفون ! مي ماعليش عااودت طلعتو \nعيطتلي دورك ولية من وهران قاتلي صبت نيميروك عند راجلي و كات… @user,2,كنت ديزاكتيفيت تويتر من تلفون ! مي ماعليش عااودت طلعتو \nعيطتلي دورك ولية من وهران قاتلي صبت نيميروك عند راجلي و كات…,negative,117.0,22.0
@user مول الإقامة لي نقص واقيلا,1,مول الإقامة لي نقص واقيلا,neutral,25.0,5.0
@user واقيلا هدا جوندارم موطار تابع مول الطوموبيل اللي تيجري,1,واقيلا هدا جوندارم موطار تابع مول الطوموبيل اللي تيجري,neutral,54.0,9.0
@user الا الإدارة لي نخدم فيها مرحبا بيك,0,الا الإدارة لي نخدم فيها مرحبا بيك,positive,34.0,7.0
وعلاش نحبو ، وحنا حا نتفارقو,2,وعلاش نحبو ، وحنا حا نتفارقو,negative,28.0,6.0
خطير على خطر عقل ساكسي على روحك ، البلدية,1,خطير على خطر عقل ساكسي على روحك ، البلدية,neutral,41.0,9.0
بصح الجزائر امازيغية كيفاش تجمع العرب ههههه .\nغرد كأنك كاش حاجة 😂😜😜 @user,2,بصح الجزائر امازيغية كيفاش تجمع العرب ههههه .\nغرد كأنك كاش حاجة 😂😜😜,negative,68.0,12.0
ماعلاباليش علاش قريته برويطة 😂😂 @user @user,1,ماعلاباليش علاش قريته برويطة 😂😂,neutral,31.0,5.0
@user والله مرة 1 د و مرة 5 د و مرة بوشونة تع كاش حاجة\n🤣🤣🤣🤣🤣🤣🤣ناس مراض,2,والله مرة د و مرة د و مرة بوشونة تع كاش حاجة\n🤣🤣🤣🤣🤣🤣🤣ناس مراض,negative,61.0,13.0
bazzhazaf,1,bazzhazaf,neutral,9.0,1.0
RT ومع العقرب الذي تم تشديده بهذا الشيء ، لا أعتقد أنني أعتمد تحصين مع الدعاء وذاكرة له.,1,RT ومع العقرب الذي تم تشديده بهذا الشيء ، لا أعتقد أنني أعتمد تحصين مع الدعاء وذاكرة له.,neutral,88.0,18.0
احتياجات النقد والههههه,1,احتياجات النقد والههههه,neutral,23.0,3.0
على سلامتك ، أختي العزيزة ، الله يريدها ، كل شيء سيكون على ما يرام ، مرحبًا ، مرحبًا,0,على سلامتك ، أختي العزيزة ، الله يريدها ، كل شيء سيكون على ما يرام ، مرحبًا ، مرحبًا,positive,84.0,19.0
@user @user @user @user @user 😂😂😂 علابالي حتى نديك لفرنسا تشوف زعيتر يتعدى على… @user,2,😂😂😂 علابالي حتى نديك لفرنسا تشوف زعيتر يتعدى على…,negative,49.0,9.0
قريبا لا يوجد,0,قريبا لا يوجد,positive,13.0,3.0
سكبت معنا ، ومرتبط ألمك,0,سكبت معنا ، ومرتبط ألمك,positive,23.0,5.0
@user والله غاضتني ملقيتش حتى وش نقولها و طفل متصورش قد واش يهبل ربي يبارك و صغير عام برك ربي يعوضها,2,والله غاضتني ملقيتش حتى وش نقولها و طفل متصورش قد واش يهبل ربي يبارك و صغير عام برك ربي يعوضها,negative,94.0,20.0
@user وعلاش انتي تفكري في هذا كله 🤣,1,وعلاش انتي تفكري في هذا كله 🤣,neutral,29.0,7.0
@user وقتاش نشوفوووووو هذو الملاعب ولا غير تتحدثون عنهم,2,وقتاش نشوفوووووو هذو الملاعب ولا غير تتحدثون عنهم,negative,49.0,8.0
@user 🤣🤣🤣🤣🤣 لوين غادي تولي 😅😅زعما 😁😁,1,🤣🤣🤣🤣🤣 لوين غادي تولي 😅😅زعما 😁😁,neutral,30.0,6.0
وربما يسافر ماكاش إلى البحر؟ وحرقة ، كيف حالك؟,1,وربما يسافر ماكاش إلى البحر؟ وحرقة ، كيف حالك؟,neutral,46.0,9.0
@user تبهديلة عابرة للقارات هههههه,2,تبهديلة عابرة للقارات هههههه,negative,28.0,4.0
@user @user التنظيم زعما غادي يكون فمستوى عالي كما كان عليه في دورة وهران الالعاب المتوسطية 2022 ؟ 😅… @user,1,التنظيم زعما غادي يكون فمستوى عالي كما كان عليه في دورة وهران الالعاب المتوسطية ؟ 😅…,neutral,84.0,16.0
@user @user اااااه لوكان تعرفي بلي نكرهووووووو وااحد كره 🙂\nماكلاه نكمل سقسي طفلة الي فوقنا وتقولك 😭,2,اااااه لوكان تعرفي بلي نكرهووووووو وااحد كره 🙂\nماكلاه نكمل سقسي طفلة الي فوقنا وتقولك 😭,negative,88.0,15.0
@user تخيلي خوك ولا ابنك ولا باباك ولا واحد من عائلتك يبعث لوحدة في البريفي و تفضحو و تشهر بيه قدام ربي و ع… @user,2,تخيلي خوك ولا ابنك ولا باباك ولا واحد من عائلتك يبعث لوحدة في البريفي و تفضحو و تشهر بيه قدام ربي و ع…,negative,102.0,23.0
@user نقول كلمة حق\nاستاذة اصغر طفل في عايلتي في نهاية السنة وصاتهم قاتلهم خبوا ادواتكم من محفظة و مقلمة و غلا… @user,0,نقول كلمة حق\nاستاذة اصغر طفل في عايلتي في نهاية السنة وصاتهم قاتلهم خبوا ادواتكم من محفظة و مقلمة و غلا…,positive,105.0,20.0
@user بصح بزاف قاع كيما استغباء فهذا الشعب رجعونا اغبياء وذلونا نيشان,2,بصح بزاف قاع كيما استغباء فهذا الشعب رجعونا اغبياء وذلونا نيشان,negative,63.0,11.0
@user ربي يعينك نا علابالي بلي كون نفوت قلبي يتحرق,2,ربي يعينك نا علابالي بلي كون نفوت قلبي يتحرق,negative,44.0,9.0
@user عقلية الاصنام..انهزاميين..ارحل...و خلي الكفاءة تخدم بلادها..شغل كي رقدت ساعة مزية منك,2,عقلية الاصنام..انهزاميين..ارحل...و خلي الكفاءة تخدم بلادها..شغل كي رقدت ساعة مزية منك,negative,85.0,11.0
على da \ noff da \ n ، وقيل إنني أخبرتك ، Diga.,1,على da \ noff da \ n ، وقيل إنني أخبرتك ، Diga.,neutral,47.0,13.0
@user @user شكون الأول من غير العاصمة؟ والعاصمة أغلبية قبايل ولي يقرو قبايل اكبر جامعة في الجزا… @user,1,شكون الأول من غير العاصمة؟ والعاصمة أغلبية قبايل ولي يقرو قبايل اكبر جامعة في الجزا…,neutral,84.0,15.0
كي يلقاو إنسان نية يلعبو بيه حتى يكرهو ، منبعد يقولك وعلاه مبقاتش النية فالبلاد,2,كي يلقاو إنسان نية يلعبو بيه حتى يكرهو ، منبعد يقولك وعلاه مبقاتش النية فالبلاد,negative,79.0,15.0
@user راك تهدر على هذاك لي داير حساب امريكي ومسميه كولن واقيل,1,راك تهدر على هذاك لي داير حساب امريكي ومسميه كولن واقيل,neutral,55.0,11.0
اختيار الناس من Skikda,0,اختيار الناس من Skikda,positive,22.0,4.0
RT @user @user وعلاه تحوسي تبكيني جيلان 😭😭😭\nوانا بالكاد اتجاوز كل مغادر لدرجة انني لم اعود اعلم من انتظر عودته او سألوح بكف ال…,2,RT وعلاه تحوسي تبكيني جيلان 😭😭😭\nوانا بالكاد اتجاوز كل مغادر لدرجة انني لم اعود اعلم من انتظر عودته او سألوح بكف ال…,negative,116.0,22.0
@user وليت نكره الصيف من هذه السناريوهات مافيا العقارات ادوها سلمية   وعلاه منكر هدا حرڨتونا,2,وليت نكره الصيف من هذه السناريوهات مافيا العقارات ادوها سلمية وعلاه منكر هدا حرڨتونا,negative,84.0,14.0
ميزيريا وتحيا كاش حاجة 🤷 @user,2,ميزيريا وتحيا كاش حاجة 🤷,negative,24.0,5.0
مهلا ، نحن خيار ثالث,1,مهلا ، نحن خيار ثالث,neutral,20.0,5.0
حمدان خويا ألابالي ، أنت حنين,0,حمدان خويا ألابالي ، أنت حنين,positive,29.0,6.0
@user راكي غايضتني بزاف علي بالك اي حقيقة تاريخية تقلبوها ع الاخرين ههههههخخ وانا مش كما انت,2,راكي غايضتني بزاف علي بالك اي حقيقة تاريخية تقلبوها ع الاخرين ههههههخخ وانا مش كما انت,negative,86.0,16.0
@user وعلاه خليجي حنا الجزائريين معمرنالكمش عينيكم🙄🙄,2,وعلاه خليجي حنا الجزائريين معمرنالكمش عينيكم🙄🙄,negative,46.0,6.0
@user @user هذو نعرفهم😏\nكاش حاجه اخرى,2,هذو نعرفهم😏\nكاش حاجه اخرى,negative,26.0,4.0
@user اواه نكمل خير . مابقاش بزاف,0,اواه نكمل خير . مابقاش بزاف,positive,27.0,6.0
@user و الله ما علابالي بجدهم لكان يكزيستيو و لا لا,2,و الله ما علابالي بجدهم لكان يكزيستيو و لا لا,negative,45.0,10.0
@user باش يشوف اذا راكي تخمي فزواج و لا لالا، باش امبعد يعرف اذا رفضتيه لشخصو و لا راكي رافضة فكرة الزواج ككل 😂,1,باش يشوف اذا راكي تخمي فزواج و لا لالا، باش امبعد يعرف اذا رفضتيه لشخصو و لا راكي رافضة فكرة الزواج ككل 😂,neutral,105.0,23.0
شفت بأه مرة وحدخرا ما تاكل اليد الي تعاون فيك.  علابالي الجزائر قلبها حنين و راح تعاونهم @user,0,شفت بأه مرة وحدخرا ما تاكل اليد الي تعاون فيك. علابالي الجزائر قلبها حنين و راح تعاونهم,positive,87.0,17.0
@user سوق اهراس مهيش تابعة دزاير واقيل؟؟؟,2,سوق اهراس مهيش تابعة دزاير واقيل؟؟؟,negative,35.0,6.0
هذا ما أنت عليه في عائلتك,1,هذا ما أنت عليه في عائلتك,neutral,25.0,6.0
أما بالنسبة!,1,أما بالنسبة!,neutral,12.0,2.0
@user @user ما شفتيش المقروط نتاعها والغريبية واش نقولك ماكاش كيفهم في المجرة ،نورمالمون كانو ينجبدو… @user,0,ما شفتيش المقروط نتاعها والغريبية واش نقولك ماكاش كيفهم في المجرة ،نورمالمون كانو ينجبدو…,positive,89.0,14.0
"لي يحبك صح يعرف وقتاش l""""anniversaire تاعك 😌✅",0,"لي يحبك صح يعرف وقتاش l""""anniversaire تاعك 😌✅",positive,45.0,8.0
@user زعما كل بنادم غدار شكون لمليح في دنيا هذه,0,زعما كل بنادم غدار شكون لمليح في دنيا هذه,positive,41.0,9.0
@user @user زعما كتبتيهم راني عارف وانت عارفة 😂😂😂,1,زعما كتبتيهم راني عارف وانت عارفة 😂😂😂,neutral,37.0,7.0
@user ماعجبكش  كلامو واقيل ههههه,2,ماعجبكش كلامو واقيل ههههه,negative,25.0,4.0
@user راك ف مرحلة التدخين العشوائي 😔 بلا حساب واقيل ؟,2,راك ف مرحلة التدخين العشوائي 😔 بلا حساب واقيل ؟,negative,47.0,10.0
RT @user في الاسلام ماكانش قهوي \nماكانش كافي \nماكانش جبوري \nفي الاسلام كاين مسلم و كافر \nكاين صالح و طالح\nكاين تقي نقي و فاسق فاجر \nا…,1,RT في الاسلام ماكانش قهوي \nماكانش كافي \nماكانش جبوري \nفي الاسلام كاين مسلم و كافر \nكاين صالح و طالح\nكاين تقي نقي و فاسق فاجر \nا…,neutral,134.0,25.0
وعندما قالوا ذلك؟,1,وعندما قالوا ذلك؟,neutral,17.0,3.0
@user غاضني غير اوباميونغ كيفاه تحاوز,2,غاضني غير اوباميونغ كيفاه تحاوز,negative,31.0,5.0
@user نتفاهمو حاجة فالجزائر المراة لي تجهز البيت مش راجل ومتأكدة كل عندكم خواتاتكم تزوجو سقسي الاب ولا سقس… @user,0,نتفاهمو حاجة فالجزائر المراة لي تجهز البيت مش راجل ومتأكدة كل عندكم خواتاتكم تزوجو سقسي الاب ولا سقس…,positive,101.0,18.0
@user هذا وين علابالي 😂😂😂😂,0,هذا وين علابالي 😂😂😂😂,positive,20.0,4.0
على واش يكون يحوس زعما ؟ @user,2,على واش يكون يحوس زعما ؟,negative,24.0,6.0
@user 🤣مزال واقيلا هيه,1,🤣مزال واقيلا هيه,neutral,16.0,3.0
لديهم قواعد في الجلسة ، ويمكنهم مساعدتهم,1,لديهم قواعد في الجلسة ، ويمكنهم مساعدتهم,neutral,40.0,7.0
@user مرحبا بيك فالشلة,0,مرحبا بيك فالشلة,positive,16.0,3.0
ألابالي رنا تضحك الجرح 😄,0,ألابالي رنا تضحك الجرح 😄,positive,24.0,5.0
@user ماعلاباليش مي اول كلمة جات في راسي ،المهم ليلة سعيدة,0,ماعلاباليش مي اول كلمة جات في راسي ،المهم ليلة سعيدة,positive,52.0,10.0
أنا أحب الجنوب ، لذلك الربيع لا يعرف الناس وأنا أحبك.,0,أنا أحب الجنوب ، لذلك الربيع لا يعرف الناس وأنا أحبك.,positive,53.0,11.0
@user سقسي عليه تعرف؟؟,1,سقسي عليه تعرف؟؟,neutral,16.0,3.0
سليماني في ليستر 😆 محرز الى مان سيتي🛫 \nسليماني في بريست 🙂 بلايلي إلى اين 🌚 \nباغي زعما 😆😆😆🇩🇿,1,سليماني في ليستر 😆 محرز الى مان سيتي🛫 \nسليماني في بريست 🙂 بلايلي إلى اين 🌚 \nباغي زعما 😆😆😆🇩🇿,neutral,93.0,19.0
@user مزية استرجعت حسابك مرحبا بيك صديقي,0,مزية استرجعت حسابك مرحبا بيك صديقي,positive,34.0,6.0
@user وقتاش باش يبداو يخرجوا يشلطوا في رواحهم؟؟,2,وقتاش باش يبداو يخرجوا يشلطوا في رواحهم؟؟,negative,41.0,7.0
@user وعلاه ؟ وش هي جريمتهم لتبلغ عنهم؟,1,وعلاه ؟ وش هي جريمتهم لتبلغ عنهم؟,neutral,33.0,7.0
@user زعما قداش طلب فدية فيهم 😂😂,2,زعما قداش طلب فدية فيهم 😂😂,negative,26.0,6.0
هل أنت ذاهب مع الكثير,1,هل أنت ذاهب مع الكثير,neutral,21.0,5.0
@user وقتاش تجي نتا 🙄,1,وقتاش تجي نتا 🙄,neutral,15.0,4.0
النفسية محتاجة زلة تهدر بزاف \nوتريبوندي بلخف 💔😩,2,النفسية محتاجة زلة تهدر بزاف \nوتريبوندي بلخف 💔😩,negative,48.0,8.0
@user نيشان ، يكون دور الزوجة البيت هو ماشي تقليل من قيمة الزوجة على الإطلاق واش عرفتي شناهي تربي طفل(ة) و… @user,0,نيشان ، يكون دور الزوجة البيت هو ماشي تقليل من قيمة الزوجة على الإطلاق واش عرفتي شناهي تربي طفل(ة) و…,positive,101.0,20.0
طاقي تيكتوكر لي تحبو بزاف اذا ريبوندالك اعرفو بلي مشي متكبر🥰👋,0,طاقي تيكتوكر لي تحبو بزاف اذا ريبوندالك اعرفو بلي مشي متكبر🥰👋,positive,61.0,11.0
@user أنا علابالي مش رح ندوها,2,أنا علابالي مش رح ندوها,negative,23.0,5.0
Maablish ومعظم الناس الذين يحبونهم هم أنا. يقولون لي.,0,Maablish ومعظم الناس الذين يحبونهم هم أنا. يقولون لي.,positive,53.0,9.0
لا ، من قبل الله ، لا ، لا هههههههههههههههههههههههههههههههههم ، نخبرك بحقيقة المعاش التقاعدي ، على سبيل المثال ، تلقوا سنة ، تكلفة الأسود ولاريني والدور ...,1,لا ، من قبل الله ، لا ، لا هههههههههههههههههههههههههههههههههم ، نخبرك بحقيقة المعاش التقاعدي ، على سبيل المثال ، تلقوا سنة ، تكلفة الأسود ولاريني والدور ...,neutral,156.0,28.0
@user والله نيشان,0,والله نيشان,positive,11.0,2.0
وعلاش بالاتصال الفضائي؟ 🤔 @user,1,وعلاش بالاتصال الفضائي؟ 🤔,neutral,25.0,4.0
@user مزية مقلتش 😹,0,مزية مقلتش 😹,positive,12.0,3.0
@user @user @user آمين يارب \nبلا مزية جارتي 💜🌸,0,آمين يارب \nبلا مزية جارتي 💜🌸,positive,29.0,6.0
أنا أسهل في الأسف مما يمكنك الخروج من حياتك. نحن لا نجعلك تحب ، لا ، لا ، ولا ، ولا كيف 😂😂🖕,0,أنا أسهل في الأسف مما يمكنك الخروج من حياتك. نحن لا نجعلك تحب ، لا ، لا ، ولا ، ولا كيف 😂😂🖕,positive,91.0,23.0
وكان شاكون يعرف 😂😂😭😭,1,وكان شاكون يعرف 😂😂😭😭,neutral,20.0,4.0
@user @user @user @user @user مرحبا بيك ختي سارة نديرلك رشتة الله الله,0,مرحبا بيك ختي سارة نديرلك رشتة الله الله,positive,40.0,8.0
@user @user واش بيك يا خو بلعقل قدر الله ماشء فعل ولل الضحايا ربي يعطيهم الصبر انا للاه وان اليه راجعون انهم شهداء,0,واش بيك يا خو بلعقل قدر الله ماشء فعل ولل الضحايا ربي يعطيهم الصبر انا للاه وان اليه راجعون انهم شهداء,positive,102.0,21.0
تفويض دقة العنصرية هنا؟,1,تفويض دقة العنصرية هنا؟,neutral,23.0,4.0
@user صباح النور والسرور ⚘\nوبونجور عليكم توجور ☕\nبالعسل والكونفيتور\U0001f9c9\nنحبو بزاف دقلة نور 🌴\nولا داعي يا إسحاق للياجور😁,0,صباح النور والسرور ⚘\nوبونجور عليكم توجور ☕\nبالعسل والكونفيتور\Ufc\nنحبو بزاف دقلة نور 🌴\nولا داعي يا إسحاق للياجور😁,positive,117.0,16.0
@user @user 😂😂😂علابالي مخك مؤثر فيه الحشيش متفهمش,2,😂😂😂علابالي مخك مؤثر فيه الحشيش متفهمش,negative,37.0,6.0
ها -ها -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha,1,ها -ها -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha -ha,neutral,106.0,27.0
@user اذا صح وش راهو يقول \nوالله غير جياحة \nنطلب من قطر ان تنزع مقعد دولة إسرائيل من الأمم المتحدة,2,اذا صح وش راهو يقول \nوالله غير جياحة \nنطلب من قطر ان تنزع مقعد دولة إسرائيل من الأمم المتحدة,negative,94.0,19.0
زعما تريبوندي؟ 😩 @user,2,زعما تريبوندي؟ 😩,negative,16.0,3.0
@user حيها حي ليا 3ايام نتحرك بالسيف زعما كورونا 🤕😷,2,حيها حي ليا ايام نتحرك بالسيف زعما كورونا 🤕😷,negative,44.0,9.0
لا أريد أن أذهب معك ، أحتاج إلى تناوله,0,لا أريد أن أذهب معك ، أحتاج إلى تناوله,positive,38.0,9.0
ما هذا ، ماذا كنت؟,1,ما هذا ، ماذا كنت؟,neutral,18.0,5.0
