tweet,label
الأحرار غايلعبو الدور وغايبدلو الكارطون من برا لسلعتهم اما السلعة غاتبقي هي هي,2
ak saudia flkhalij hahya weli liya fatett mzyan wa3er ou flkhalijj,0
@user @user @user @user @user mala matnsaych tadini maak nhar trouhi l kenza hhhhhhh,0
bl3akss ana knt 3ziiza 3liya o btai3t hal hit khatibha messri ghatklm hakak ohiya mftaakhra b maghrbiyha,0
betyy hna bikhiir b choufteeeek,0
أول جلسة تنقلية للقضاء الإداري والتجاري تدشنات فالداخلة,1
bayna w ila ach jabhom lhnaa ana dkholt l9ithom dayrin lih rt a like bssa7 7na kanghalto w kanjawbohom mais mostafiziin,2
"بلينكن لوزير الأمن الاسرائيلي: واشنطن ملتازمة “بتعميق علاقات التطبيع وبناء علاقات جديدة”,",1
دابة هادو هما المغاربة الأحرار اللي فاهمين كلشي بلادنا الفوق2وغتبقا ديما الفوق,0
منذ 2011 والسلطة غائبة في المغرب,2
ana mamali waaaaaalo chefthom hajmiiin 3lina ftag kandaf3 3la rassi,2
@user fati nasiha ila dwiti m3a hanane goli liha dwi bi darija ou tghani magheribi andar kolha 3liha daba kitsnawha ri 3la ghalta,1
المزراوي: عندنا منتخب واعر وغادي نديرو المفاجأة فالمونديال,1
لا ياخي راجع جيدا الدولة العربية الوحيدة التي ساندتكم حكومة وشعبا هي المغرب,0
@user HHHHHHH DONIA LA FIN HAD SYEDA,0
la lkhamis awili rah hadik dayrinha 3la mo2asasat mohamed lkhamis,1
انقلعو على فلسطين ما دام ما بتحبو الامريكان',2
"تقرير رسمي: رقم معاملات تجارة الشراب والقمر والكَارو فات 32 مليار درهم,",1
@user @user @user iwa wrrinwni hada li kaybdlo ana kante7 ghir f 🤡 #BTSBBMAs,1
الحمد للاه. و لا الاه الا الله. اللاهم اسقي عبادك',0
@user ta wahd mli katbki makaytsw9 liha,2
3la had la7ssab sektiwi bgha mantami lda3ich wach les 40 7arami vont suspendre aladin,2
"كسيدة خايبة وقعات لمدرب نهضة بركان.. تقلبات بيه الطوموبيل حدا مطار وجدة,",1
wahd nes nes karima goli ach bghiti tchrbi ila diti chi haja ktr mn 10dh atkglsiha nti ldinmok,2
المهمشين في المغرب الامازيغ',2
lah ylagiha lihom lkbab walikiin mgharba dyalna li dsrhooom bhadok hachtagat dyal la tomatil maghrib ima kon kna mtahdin maytjar2oc,2
فيديو مؤثر.. انهيار جليدي قتل سائح برازيلي في الأرجنتين- فيديو,1
Kan Ja Galbek kima galbi- Cheb Hasni https://t.co/DeLQPmN7E7,1
@user imad kolma ntalil kanjbrom hajmin 3lik hhhh,2
wach dayrin oughnya b elam jay f lkora l ardya w bghity tndm hhh,1
ikon 3ndk sa7b wa7d&gt;&gt;&gt;&gt;&gt;,1
kon ghir tgals m3ah dima lmochkil machi binathom lmochkil mabin hanan ou lmgharba likaychofoha ovar ovar,2
Hhhhhh khal9a m3a rassi b kas atay ou derhm msemn hhhhhhh,0
8ird m9awd wl morphine m9awd Ghir ymezkona bla tmzkik,2
ههههه كيف لها أن تنتهي وهي لم تبدأ من الاصل اغلبية ابناء المنطقة مقاطعين فقط بعض القطيع هو من صوت,2
kanmot 3lik aszahbti l3ziza 3liya ou bzaaaaaaaaaaaaaaaaaaf,0
@user lay 3tihom (5arwan o chamkar o ra9issa)chi mossiba f had lila lmobaraka lilat l jomo3a diri m3ana yadik a l7biba o gholi amine,2
mabrouk l best female artist b 68 flmya f fox music,0
"على تطوير وتعميم التعليم الأولي.. ها الاتفاقيات اللي سيناها اليوم الوزير بنموسى,",1
الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم في الفوز والتأهل أمام ويليم في كأس هولند',0
"Saraha, the poor Messi khesso ichouf chi fqih.",2
واش مكاين علاش نتكلمو غير على هد الحوايج التفهه كاين مواضيع اهم تناقش الساعه اهم واولى ارقوا بدوقكم واسموا بقناتكم',2
الجامعة وقفت عدد من اللعابا فالبطولة وضربت فراقي بالخطية,1
"هههه ضروري بإذن الله , لفقر را عيب ؤ عار ؤ حشومة",2
بنكيران غادي في الطريق الصحيح نحو الهاوية,2
"جثة رضيع مرمية فالخلا استنفرات السلطات فتطوان,",1
"الكَيرا فأوكرانيا. 1222 جثة تلقات فـ”كييف”.. ومسؤولة أوكرانية: بدينا لونكيط فـ5600 حالة من جرائم حرب دارها الجيش الروسي,",1
فستركعون لاسيادكم عاجلا ام اجلا فالمغرب لم يخسر شيئا امامكم لانه في ارضه وعلى ارضه شئتم ام ابيتم (مات ليكم الحوت)',0
@user Ihab 9ari m3aya Howa bac dyalo science physique o 3omro makan science vie et terre,1
nari wajdo rasskom salit lmkom makayn ghir nihilism 24h24h,2
finma t7ot hanane chi haja nl9ak katnb7i gha bchwia 3lik mzl fin tnbhi,2
أطلقوا سراح المعتقلين و ابحثوا على سارقي المال العام ',2
"مرصد الشمال لحقوق الإنسان: عدد الشباب اللي باغيين يحركَو غادي وكيتزاد.. المقاربة الأمنية ماكافياش لمحاربة هاد الظاهرة وهاشنو خاص – بلاغ,",1
كم أنت راااائع يا غاتوزو|',0
"هادي أجندة وزير خارجية مريكان لي جاي للمغرب وغادي يتلقا محمد بنزايد ويدوز للجزائر,",1
hhhhhhhhhhhhhhhh hadik lbnt li 9alt ihaaaaaaab aktar chohra 3ndna f lmghrib mn khanan odina omaraouan,1
لا يوجد في قنافد البرلمان أملس و ابن كيران هو أكثرهم شوكا إذن بلا مدافعو على حتى قنيفيد منهم كلهم بحال بحال زيرووو,2
ban a ntta ma bghina la cadeau la walo,1
@user fati alah yrham lik lwalidin siri choufi mafia maghribiya ach dayrin 3la hanan warah mradna siro 9admou 3lihom chikaya 3afakom,2
ساصوت لنبيلة منيب .. حزب اليسار الديموقراطي,0
moroccan and proud plzzzzz kantmenna ye9bel ghadi tchher oghnya enta m3allem f,0
تبارك الله عليك الجودة و الإتقان ف العمل صراحة مجهود كبير و رائع يشهد لك  متشوقة لرؤية المزيد من الفيديوهات  في إنتظار المزيد و القادم أجمل و أفضل كل التوفيق والنجاح الدائم لك يا بنت المغرب الحبيب﻿ ',0
"بنموسى: إصلاح المدرسة المغربية هي مسؤولية وطنية ومجتمعية وحنا خدامين على تنزيل النموذج التنموي,",1
et gatlik ila ma 3ebrouhech liha ghadi ti7 ou teji l ambulance tehezeha sa7a,2
@user @user @user hhhh maraygdouch 3lina hdra kaydourou biha mssakn mn sbah,2
@user @user @user Ghzalin Fnin ntin w Adoulaa Keyyt li mtlyin bmghorfa whda Kulch Khayb hhhh t3lmo men tiskat 100% zeen,2
نتمناو التوفيق لابن كيران وحكومة ثانية ان شاء الله,0
hhhhhhhhhhhhhhhh dahk rafihouum omahassin biiih ila bghaw ihadro iba3do 3la moda whadro khenzethom akbar dalil hhhh,2
ميساج قوي من “الوينرز” لجماهير الوداد واللعابا ديال الحمرا من بعد التعادل ضد التواركة,1
@user jomhor @user o lmgharba kamlin bghina tkon f mawazine aktar wa7da tstahel tkon fih jibooooooha plzzzzz,0
المغاربة ماقادرين حتى على الخبز ، ما أذراك بأرگان ',2
"بسباب التحذيرات الأمنية اللي لونصاها المغرب.. مدريد غادي تبلغ “الناتو” مخاوفها من خطر “داعش” فمنطقة الساحل على جزر كناريا,",1
ولاية تانية ان شاء الله  احنا الحازقين كنشوفوا بان الحكومة في الطريق الصحيح ولهدا نحن ندعم بن كيران,0
زدتوا فيه بعدا من بنكيران شوية بعد هوا رآه دار شي حاجة انا غنصوت عليه مغنخليش الفرصة  لوحداخر عاد يبدا,0
آلاف المواطنين ستمتعوا بسهرة فنية زوينة ف العيون احتفالا بذكرى المسيرة الخضرا,1
akid hta nti tstahli ya rab souka tafarahkom ntoum tstahlo habaybi,0
يجب تعميم البادرة و إعطائها شكل قانوني من الدولة,0
hhhhhhhhhhhhhhhhhhhhhhhhh hafih ghire nti ou la ma3reftihch rah yehafdo lik mzn hwa hafdo hsan menak wa tlahi,1
selmi 3la amine ila kan,1
khtiiii siri lah yrheem lkerch li welddateek olhaja wlhaaj li rbaweeekk maghrebya assela walaw flghorbaa,0
voilà cest la reine wkhlawha the five li jayy wa3er wa3er,0
مقاطعة جميع خدمات الإتصال الهاتفي و يناير إحتجاجا على حظر تطبيق الواتس اب وسكايب',2
تينهينان جدة الطوارق في الصحراء الكبرى  اما جد الامازيغ فهو ماسينيسا مؤسس الدولة النوميدية,0
لا لا نريدك مع المنتخب المغربي فما لدينا يكفينا و زيادة. أنت اخترت و انتهى الأمر ',2
la li9a2 msajl mn l7afl hada brnamj osbo3i kayjib a5bar lfananin lkbar,1
لعيب ليس في هذا الشيخ المعتوه الذي لا يفرق بين 25 دجنبر و دجنبر31، العيب في السلطات التي تتركه ينفث سمومه وامراضه النفسية بين المواطنين',2
الصوت الجميل',0
oui mais l alarabiya rah tkaw 3lih ktbou chi 15 articles kamlin kay3ayro fih hh,1
كيف المحامين كيف الأطباء والمهن الحرة.. تخفيض الضريبة من المنبع والدفعات بلاصت التسبيق للمحامين,1
ana ma3arfach nti 3arfa,1
أختي بقاي قوية و متنساقيش للسفهاء كلنا بنكيران,0
أسي الثعباني غير طلعتي وحيتي الضرائب ف السيارات الدفع الرباعي ورجعتيها R4 ودابا بغيتي طمسنا بجوج كلمات',2
"الوزير ميراوي: ها تفاصيل النموذج الجديد فالتعليم العالي.. منها الزامية إتقان الإنجليزية والبرمجيات وأستاذ لكل 50 طالب,",1
الغرب الصليبي بمساعدة حكومة العسكر في الجزائر يسعون لتمزيق جميع الدول العربيه,2
@user @user makatcheb3ich mnha omn harakatha kanchouf o kandhak ghir rassiii,0
"@user hellooo zen, yakhty mrida chwiya 💤 3ayrt abbas f instagram, wana ntkhn9 Kant anmchi feha 😂😂dnobo khrjo fiya 😰",2
@user ya bissara . Bawlo . Kayn kayn l9ess,0
hhh mskina lah ikhliha likooooooooooom machi mochkil richdihom rah t9dri thtajihoooom rah khasna manw9foch mn tswit,0
#Ibtissamtiskat ya tiskatiyin sem3o gheda kolchi yesifet msg f la boite vocal de momo ygol lih jib ibtissam ok hahowa le num 0645202343 ok?.,1
: كبرت فهولندا فبلد متفتح كتر من القياس و ألي كل شيء فيه مباح ولي حتى الدعارة فيه تعتبر مهنة..فيه جميع أنواع المخدرات الخمر ال…,1
mazal ma 3reft fin 7tafl b 3id miladi wach fl salón fl bathroom awla f la cuisine,1
@user kolchi ghadi iban aprés mosalsal mab9a walo w N3rafo,1
bghit ntfker nhar t3lemt nrbet syour :(,2
"“لامارين” حجزات طن ونص ديال الحشيش فسواحل الحسيمة كان هازها زودياك,",1
howa hat sora f snap whiya f insta nafs lwa9t,1
@user @user kayna wla ma kaynach= li lfanan lmaghribi = a7mad chaw9i,2
allah hassan momkin nssawlak chhal 3andak man 3am tbarkalah 3lik kay3jabni tafkirak wa3i bzaf alah yahfdak lmamak,0
يرفعون علم الانفصال ويبعدون العام الوطني ومع ذلك يتشدقون بالمظالم والحقوق. لا حقوق لمن يرفع علم الانفصال',2
@user hanya khoya. Kechaba dial jbala wass3a :) @user,0
3ach darori sifara rah ma3mr daro chaghab dak mazembe wakha kayghwto mais ghir f bab l hotel w dakchi,2
جوهر عموم الناس في المعاملات',0
nti w dk mgrp li dkhltini endkom hdra dial lkhra bhl ila gals kndor f comms d page lhamda dl mbwq,2
arah galk lebehiri ydir karoussa dyal tfa7 wmayl3bch f casa,2
لك الله يا أقصى أما المسلمون فهم نيام في سباتهم الذي طال ولن ينتهي',2
"خاص. الأستاذة كريملي مولات دراسة “الهشاشة الصحية عند عاملات الجنس فالمغرب” فحوار مع “كَود”: ماشي معقول تحرم هاد الفئة من الحقوق ديالها ومن إنسانيتها وخاص ضمان رعايتها الصحية وهاد الخدمة متحكمة فيها المعايير التجارية,",1
لتصحيح الصحراء الغربية المغربية و أعلام المملكة ترفرف في سمائها و لاعزاء للفقاقير الخرابيش,0
@user kntssanaaw hh sma3na ghir sotha f snap rana hhh,1
@user macheft waaalo ola chtha kayn mobid hacharat ofa3aaaaaaal,2
@user ana khayfa tb9aw d3moha flkhr Tsdmo mli tdii la9ab,2
و شكرًا',0
matb9aych tjawbi m3a had achkal hadrthom makat9dam wla t2khr lmohimmm hanane w raphael makitsw9och,2
la ana sme3taha aktar mn 100 marra hhhhhhh,0
@user @user @user 3atew9a3 ida kona ana wyak kan ketbo fe nefss le wa9t machi n9olek hadra we tjawebni fe taniya,1
تحيا الجزيرة و يسقط كهنة ال سلول و مشايخهم',2
ana kanssaweet lghadaa mn 9biila lt3,1
@user ila badalti imkan lik tsawti walaken nafs lfi2a la,1
المغاربة شفتو عباس ديال فلسطين من أجل الكرسي  اذل نفسه وشعبه و قال إن قاتل شعبه رجل سلام. إن هذا لا يختلف عن العماري وشباط والسيسي. ..,2
wa hahhajahah wach nty maghribya wabazzzz lik akhty,1
برامج يغلب عليها الهرج والمرج اين هي برامج المجتمع ك بصراحة..',2
"عاجل. انفجارات مجهدة فالعاصمة الأوكرانية هاد الصباح.. وموسكو: دكَدكَنا وحدة خاصة بإنتاج صواريخ أرض جو فأوزين “فيزار”,",1
يمشي يقتاطعها للبرلمانيين و الوزراء ماشي المواطن المقهور,2
bsa7to khalih maghroro 7na 3ajbna haka siri khabti rasak f l7it ya tafhin tfo 3likom t7bo ghir waskh,1
لعنة الله عليكم وعلى هد الصفحة الصهيونية أنتم ظد.إسلام مجرمين تفو عليكم عاهرة',2
hhhhhhhhhhhhhhhhhhhhhhhhh khatira hanan machi bhalk hbila p,2
salamm gol ay hhaja bghiti dgol wana n3mlk ntrjmlik hit hanan bent medintiiiiiii,0
naryy kayn chi w7din f twittoma khsshom ghir 100,1
howa l matal kygol chkon chkr fik l3ros galt mi wkhalti wlhazara jarti db rj3 bnadm ichkro rasso wyt9 bhdrtoo,1
"بعدما تحرش بالتوريست وسط ريسطو.. شخص تعدى على مخازني بجنوية فتغازوت نواحي أكَادير,",1
البارصا مازال طامع فميسي وفاتح له البيبان باش يرجع ,1
وفجاتنا المغرب كله سعيد ويهلل حزب العدالة والتنمية لان بنكيران اسعد المغاربة ب اعلانه ان فاتح محرم هو يوم الاثنين,0
الصيادة لا تهمهم سوى مصلحتهم فقط لا حولة ولا قوة إلا بالله ',2
سحب هاد لكلمة أ سيدي ودير فبلاصتها : مارسه بحمد وشكر و حب 💙🙏,1
فكري الله ارحمموا المتهمين الله اصبر عاءلاتهم,0
الله أزيدكوم عداب في عداب',2
يا ربي سلامة o o كنتمناو متكونش شي حاجة خطيرة,0
الحكومة اقتطعت من رواتبنا وزادت في الماء والكهرباء حسبنا الله ونعم الوكيل,2
@user bravo adil tbarkllah 3lik 7mrti lina lwjh ... the5 homa l x factor f 9loubna bn chnace &lt;3,0
@user Maykon bass 3andak al 3awda,0
hhhhhhhhhhhhhhhhhhhhhhh zwina 3andk hadii kighandiro lihaa,0
راية الامازيغ ترمز للهوية وليس للعرق او الدولة اما الراية المغربية فهي ترمز للوطن او الدولة,0
"كييف: القوات الأوكرانية رجعات السيطرة على كثر من 30 بلدة محيط العاصمة,",1
السبب هو تشتت العرب والمسلمين وانشغالهم بالتناحر في مابينهم. ',2
9aliha mabrouk lfinaale galt lih 3arfa gal liha lahik ana za3lan,1
khti fatin momkin follow bghit nhder m3ak,1
تبت يد حكام العرب و تب و كل اتباعهم المعتوهين',2
@user @user la hadik 3enza katjib liya ichmi2zaz impossible nchofha hhhhh mazyan golo liha teghani l sidha saad maghribi,2
rabi ystarna hadouk rah nas mrida rah kaynin khouthom maghribiyat alah yadina fdaw nas hablo 3la 9bal achkhass,1
la la hia hadik li glt,1
ربي كبير الحمد لله وما عنده الا الخير',0
walkhra ra mkndwich meak rani knjawb f reply d nassima,2
wilii wilii katba chi3r 3la l baby dialna 😕😲,1
سيلعنوك أيها الملعون ',2
lah ye7afdak ou yakhlik linaa maghribi maytkhlkach 3la bant beladooo rojolaa 7na m3a hanane tal final,0
hnadaba chi lwahid limabghinahch nchofo hanan m3a lmohrij osafi hanan 3la rasna zwina driyfa mais m3a lkhrin,2
@user @user aaah ok dk hatim sda9 masahlxi lahdti fli9a2 m3a momo ihab makanxi mrtah m3a hatim,2
ghi makanch kay3té lmha lflosss dik chi lach kant katkhdm 3lihum o hya kant mrebya an 3arfaha bnt darhum,0
عاهرات المملكة المخربية في السعوديةهههه,2
جميل جدا',0
Ala homa sali 3la sayidena mohamed wa alih wa sahbih https://t.co/3NPWLhOVHN,0
"عذرا """"""""""""""""""""""""""""""""فيثاغورث"""""""""""""""""""""""""""""""" : المملكة المغربية هي المعادلة الأصعب'",0
محسن فكري بغاااا حقووو والمخزن علاش اطحنووووووو,0
مساكين ظنوا أنهم أسقطوا الرأس,2
@user Daba gha 9na3ni bali nta baghi tmarki o mdakhal nanah o saadaoui 😭😭,1
wa 3aderihom mssakn rah dima khassrin ou homa dima machminha hhhh rah ma3mrhom irbho ila madaroch bhal haka,2
الصحراء لا يمكن بتاتا ان تكون الا مغربية، اهلها كرمائ و محافظين و جوها جميل جدا و الجمال يطوف بها من كل جانب خصوصا المراة الصحراوية ',0
#الخضراويين_علي_اللقب_ناويين hanane hya li tetahel la9ab,0
"ماطيشا دارت الگرون وفاتت 10 درهم للكيلو وتكلفة الحريرة ولات غاليا والمغاربة كاعين على الحكومة,",1
arak daba lm3your f benitez,2
"مندوبية التخطيط: 69 فالمية من تجار الجملة كيتوقعو استقرار فحجم المبيعات فهاد المدة و70 فالمية كيشوفو بللي عدد المشتغلين فالقطاع استقر,",1
kantmna likk twafi9 yannsine vraiment the voice ohna faghorin bik lank kat matal sahra lmghribiya o le maroc bravo lik jtm,0
نعم لبنكيرن وسأصوت مرة أخرى لحزب العدالة والتنمية لأن الفساد في هده البلاد يحتاج أكثر من خمس سنوات لإزالته و نعم للديمقراطية و صوت الشعب.,0
أعشـقـك يا مـلكي أينما تكــــون وحيثما تكـــــــــــون',0
رحـــم الله الفقيــد الفنــــان حـسـن مضــيــاف',2
هههههه وا هداااا عليا عاوتاني معرت,1
إسرائيل مستوطنة استعمارية عنصرية حرق علمها بغض النظر عن المناسبة هو واجب أخلاقي',2
الله يستر ما كنتش تا نتيق بمرض الكرسي حتى لهاد الدرجة ، ولكن الان تاكدت منه وبالاخص عند المنافقين الاخوانيبن لي خربو الدول الاسلامية او ضحكو على شعوبها باسم الدين.',2
joueur d racing club mandouzza f tiznit prête tal chhr 6,1
أكبر مشكل يواجه المغاربيين هو عدم معرفتهم ماذا يريدون :',2
2ème au monde f sida b2i7sa2iyat mn maw9i3 mwtoo9 jonod d franca kano fach kaysaliw jmiii3 ljamajiim d jdoodek knao kaydozo ldyoor y7wiww jdaatkoom wmawatkoom 1000 dar da3a f l3asima morkhasa momtila 2iba7iya mn bladk li t2sat 1962 dat a7sen p or ns tar,2
فلسطين من الدول المعترفة بالبوليزاريو و هذا شيء معروف لدى الجميع بإستثناء العقول المسلوبة فكرياً !!,2
en plus hna ma3ndna ta haja dad chi hd kolhum mgharba btissam chj3naha o ba9in m3aha o lokhrin lah y3awnhum twfi9,1
mbrouuuuuuk lweld bladi o fakher lmghrib tstahel kol khiiiiiir,0
العماري رئيس جهة ورئيس حزب وحصل على 103 مقاعد أكبر إنجاز حطم الرقم القياسي,0
@user Oui alhoma rhirba wla hd ard lyi machy sa3ida bal ta3ysa,2
انك وأمثالك لن تعرفوا الم الهجرة الا عند تقدمكم في السن وعندما يتلقون النظرات المهينة من سكان البلد الذي تقطنون به ',2
فعلا الملك محمد السادس يستحق كل التقدير والاحترام والنصر  انه رجل ذكي وشجاع بكل المقاييس,0
تشويه إسم العلم والدعوة',2
raje hbiba tbark lah 3lik akhti dima katdiri jhdk w aktar bash tferhi basouma rebi ysshel lik omour ahbiba,0
اكبر مسخوط هو ااياس العماري بالشهادة الابتدائية  اراد،حكم المغرب  لمدة خمس سنوات.وتنااااكت,2
"مسؤولين كبار فالشرطة الإسبانية والحرس المدني : دعم الحكومة لمبادرة الحكم الذاتي ساهم بالزربة فحل الملفات الأمنية العالقة,",1
#Assaf2016 Assaaaaaf bghite N9ollek Bli Fans Lmalika @user Kaymoot 3likk Whna Dima M3ak W Ntmnaw Nchufok Flmghreb Andna,0
twa7shtk twa7shtk mn lmaghrib a7la salam 😍😍😍😍😍😍,0
ach hadechy wach demain kina chtiiwa wla tele dialii tsetaa,1
"بوكلاطة نائب الوكيل العام بفاس: البرلماني الفايق عرقل سير العدالة وإطلاقه فحالة سراح كيشكل خطر على مجريات الضوصي ديالو,",1
@user kanmout 3lik dodo kanbghik bzafff 9ad ma tkhayli a7la sada9a nti oghadghod m3a bassoma,0
ويستمر استحمار الشعب لامحل لنا من الاعراب في هاته الدولة المنافقة,2
الاحرار في سجن عكاشة و حاملي شعار عاف الله عما سلف في الفيلات. هذا هو المنطق والا فلا. ',2
@user @user bloc o hani rassek khalina f tasswiit,2
ou nti katmatli lmaghrib wla achno tani haja chkoun li kaymatal lmaghrib aslan flghna ila jina nhadro balma39oul li kaycharfo,1
hhhhhh nta ch3l drole,1
hada lidar hadchi ollah ta ghayt3deb f l9br hhhhh,1
